year,industry_code,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
2003,12,97,4453,12388.25,38252.65,12323.979791666667,636573.27,99417.03
2003,NA,1,21,19.32,16.7,678.91,483.33,59.87
2004,1,76,798,5935.34,18697.35,8646.414605263159,631518.78,97805.34
2004,2,134,8593,71315.21,166105.72,18609.51805970149,1929464.52,220174.68
2004,3,406,18471,58091.18,89020.02,5455.717925925926,1971787.03,250105.44
2004,4,47,1309,4956.48,121512.43000000001,28687.68804347826,1481575.11,280730.8
2004,5,127,5519,24167.19,35222.95,7360.55016,831908.18,123619.21
2004,6,690,44860,112687.15,106019.89,2755.7870614035087,1594970.69,256456.88999999998
2004,7,49,1273,8715.42,116794.37,40379.394374999996,947598.7,308089.98
2004,8,27,59,215.19,24791.67,20006.56037037037,203318.37,53248.1
2004,9,37,1404,1118.19,34295.71,14381.58054054054,1000393.55,66709.37
2004,10,457,7378,91976.54000000001,35188.83,2340.4381473214285,610923.9,164797.73
2004,11,54,373,506.55,14205.7,157480.97407407407,561114.8,253328.43
2004,12,104,4485,13426.939999999999,52991.61,14521.544077669903,807602.59,130884.69
2004,NA,1,16,20.19,18.09,679.76,514.53,64.88
2005,1,59,684,5663.03,16628.25,9187.341016949153,490712.19,84157.45
2005,2,127,7737,68414.38,170505.69,18912.023858267716,1850457.68,189737.61
2005,3,370,15790,55979.04,93873.55,5928.422643051771,1959475.98,260069.95
2005,4,46,1146,4625.85,106157.7,28123.36456521739,1553202.19,306415.73
2005,5,131,4168,22639.78,40383.31,7205.444076923077,872689.32,130046.91
2005,6,669,40966,110806.37,107894.17,2853.6994427710843,1624886.62,265953.92
2005,7,44,951,6496.5199999999995,112069.05,42616.72113636364,833066.52,271226.89
2005,8,24,62,177.6,27249.52,24746.222916666666,228397.35,55847.82
2005,9,46,1153,1269.83,42711.84,14814.245111111111,1193141.01,84704.06
2005,10,418,6157,91241.75,33894.53,2562.980817307692,638990.78,172831.81
2005,11,63,392,562.53,6526.38,148642.036984127,555384.9,276862.52
2005,12,92,3930,13719.08,46493.93,12655.234456521739,653166.61,111084.74
2005,NA,1,12,21.04,18.96,655.44,504.43,62.6
2006,1,71,828,7172.75,21313.84,8833.334929577464,570225.75,96379.28
2006,2,128,9405,74811.49,197911.78,18857.11566929134,2117959.08,218511.35
2006,3,379,19407,61210.66,105571.56,6281.02736,2148938.42,290714.53
2006,4,47,1444,5586.2,154328.62,32539.95510638298,1773499.53,380937.49
2006,5,124,4499,24058.49,49826.17,8968.197903225806,937325.25,145785.63
2006,6,665,51483,129260.1,122960.17,3350.307996941896,1887947.35,296890.52999999997
2006,7,50,1074,7132.64,136356.08,44163.74448979592,975893.64,310908.67
2006,8,18,39,176.29,26986.86,23827.940555555557,162530.41,41693.92
2006,9,45,1194,2058.31,49233.93,16485.181333333334,1340744.99,98321.53
2006,10,444,7687,112903.29,37216.72,2668.0710180995475,696831.87,189633.17
